,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
79,79,محل للإيجار في شارع الخليل بن أحمد ، حي المروة ، الرياض ، الرياض,"17,000 ريال",39 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الشفا/شارع-الخليل-بن-أحمد-حي-المروة-الرياض-الرياض-3592022,جنوب,,
80,80,محل للإيجار في شارع ام عمارة ، حي بدر ، الرياض,"7,000 ريال",30 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-ام-عمارة-حي-بدر-الرياض-1375155,شمال,30 م, 15 سنة
81,81,محل للإيجار في الرياض ، حي السلي ، الرياض,"75,000 ريال",200 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/الرياض-حي-السلي-الرياض-2322338,شرق,60 م,جديد
82,82,محل للإيجار في شارع الشباب ، حي العزيزية ، الرياض,"25,000 ريال",80 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-الشباب-حي-العزيزية-الرياض-622225,غرب,40 م, 5 سنة
83,83,محل للإيجار في حي السلي ، الرياض ، الرياض,"20,000 ريال",40 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/حي-السلي-الرياض-الرياض-3703518,شمال,,
84,84,محل للإيجار في طريق ابن تيمية ، حي بدر ، الرياض,"85,000 ريال",160 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/طريق-ابن-تيمية-حي-بدر-الرياض-1113608,شمال,60 م, 2 سنة
85,85,محل للإيجار في شارع فتح مكة ، حي بدر ، الرياض ، الرياض,"50,000 ريال",98 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-فتح-مكة-حي-بدر-الرياض-الرياض-2512025,غرب,40 م, 3 سنة
86,86,محل للإيجار في طريق فتح مكة ، حي الدار البيضاء ، الرياض ، الرياض,"60,000 ريال",220 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/طريق-فتح-مكة-حي-الدار-البيضاء-الرياض-الرياض-3288445,شمال,80 م,جديد
87,87,محل للإيجار في حي ، شارع محمد رشيد رضا ، حي الدار البيضاء ، الرياض ، الرياض,"500,000 ريال",1370 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-شارع-محمد-رشيد-رضا-حي-الدار-البيضاء-الرياض-الرياض-3313390,جنوب غربي,40 م, 4 سنة
88,88,محل للإيجار في شارع الترمذي ، حي بدر ، الرياض ، الرياض,"80,000 ريال",145 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الترمذي-حي-بدر-الرياض-الرياض-3404757,غرب,,
89,89,محل للإيجار في طريق الامام مالك ، حي بدر ، الرياض ، الرياض,"15,000 ريال",48 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/طريق-الامام-مالك-حي-بدر-الرياض-الرياض-2723086,شرق,60 م, 10 سنة
90,90,محل للإيجار في شارع نهاوند ، حي العزيزية ، الرياض ، الرياض,"6,000 ريال",27 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-نهاوند-حي-العزيزية-الرياض-الرياض-3038343,شمال,35 م, 14 سنة
91,91,محل للإيجار في طريق ابن تيمية ، حي الشفا ، الرياض ، الرياض,"70,000 ريال",80 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الشفا/طريق-ابن-تيمية-حي-الشفا-الرياض-الرياض-3209852,جنوب,60 م, 10 سنة
92,92,محل للإيجار في طريق الخرج ، حي العزيزية ، الرياض ، الرياض,"200,000 ريال",500 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/طريق-الخرج-حي-العزيزية-الرياض-الرياض-3544089,شرق,,
93,93,محل للإيجار في حي العزيزية ، الرياض ، الرياض,"90,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/حي-العزيزية-الرياض-الرياض-2736505,غرب,60 م, 6 سنة
94,94,محل للإيجار في حي أحد ، الرياض ، الرياض,"12,000 ريال",32 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-أحد/حي-أحد-الرياض-الرياض-2480355,جنوب,36 م, 4 سنة
95,95,محل للإيجار في حي المناخ ، الرياض ، الرياض,"21,000 ريال",48 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المناخ/حي-المناخ-الرياض-الرياض-2713388,جنوب,40 م, 5 سنة
96,96,محل للإيجار في شارع روض الجوار ، حي الدار البيضاء ، الرياض ، الرياض,"25,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-روض-الجوار-حي-الدار-البيضاء-الرياض-الرياض-2729635,جنوب,30 م, 2 سنة
97,97,محل للإيجار في شارع اسطنبول ، الرياض,"15,000 ريال",40 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-السلي/شارع-اسطنبول-الرياض-702173,شرق,60 م,جديد
98,98,محل للإيجار في شارع الابطال ، حي بدر ، الرياض ، الرياض,"35,000 ريال",55 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الابطال-حي-بدر-الرياض-الرياض-3726078,شمال,40 م, 10 سنة
99,99,محل للإيجار في طريق الامام مالك ، حي بدر ، الرياض ، الرياض,"1,200 ريال",28 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/طريق-الامام-مالك-حي-بدر-الرياض-الرياض-3597321,غرب,60 م, 13 سنة
100,100,محل للإيجار في طريق ديراب الفرعي ، حي الشفا ، الرياض ، الرياض,"125,000 ريال",80 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الشفا/طريق-ديراب-الفرعي-حي-الشفا-الرياض-الرياض-3720848,شمال,80 م,جديد
101,101,محل للإيجار في شارع محمد رشيد رضا ، حي العزيزية ، الرياض ، الرياض,"25,000 ريال",261 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-محمد-رشيد-رضا-حي-العزيزية-الرياض-الرياض-3316543,غرب,40 م, 4 سنة
102,102,محل للإيجار في الرياض ، حي الدار البيضاء ، الرياض,"15,000 ريال",30 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/الرياض-حي-الدار-البيضاء-الرياض-2463899,جنوب,30 م, 12 سنة
