,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
39,39,محل للإيجار في شارع الشيخ عبدالله بن محمد ، حي السويدي ، الرياض ، الرياض,"60,000 ريال",250 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-السويدي/شارع-الشيخ-عبدالله-بن-محمد-حي-السويدي-الرياض-الرياض-2541912,شمال,30 م, 10 سنة
40,40,محل للإيجار في حي ، شارع نجم الدين الأيوبي ، حي ظهرة نمار ، الرياض ، الرياض,"60,000 ريال",150 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-نمار/حي-شارع-نجم-الدين-الأيوبي-حي-ظهرة-نمار-الرياض-الرياض-3755170,شمال,5 م,جديد
41,41,محل للإيجار في شارع حمزة بن عبدالمطلب ، حي الحزم ، الرياض ، الرياض,"45,000 ريال",120 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-الحزم/شارع-حمزة-بن-عبدالمطلب-حي-الحزم-الرياض-الرياض-3000742,شرق,,
42,42,محل للإيجار في شارع عائشة بنت أبي بكر ، حي ظهرة البديعة ، الرياض ، الرياض,"25,000 ريال",50 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-البديعة/شارع-عائشة-بنت-أبي-بكر-حي-ظهرة-البديعة-الرياض-الرياض-3613113,شرق,40 م, 20 سنة
43,43,محل للإيجار في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,"300,000 ريال",636 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-احمد-بن-الخطاب-حي-طويق-الرياض-الرياض-3710068,شمال,40 م,جديد
44,44,محل للإيجار في شارع الشفا ، حي ظهرة لبن ، الرياض ، الرياض,"40,000 ريال",1200 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-الشفا-حي-ظهرة-لبن-الرياض-الرياض-3573003,جنوب,60 م, 2 سنة
45,45,محل للإيجار في شارع الشيخ محمد بن مهيزع ، حي الزهرة ، الرياض ، الرياض,"5,500 ريال",30 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-الزهرة/شارع-الشيخ-محمد-بن-مهيزع-حي-الزهرة-الرياض-الرياض-3649873,شمال,30 م,جديد
46,46,محل للإيجار في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,"70,000 ريال",120 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-المهدية/حي-طريق-السيل-الكبير-حي-المهدية-الرياض-الرياض-3427058,شمال,40 م,جديد
47,47,محل للإيجار في شارع الاخلاص ، حي طويق ، الرياض ، الرياض,"1,500 ريال",36 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-الاخلاص-حي-طويق-الرياض-الرياض-3563795,جنوب,60 م, 11 سنة
48,48,محل للإيجار في شارع نهاوند ، حي ظهرة لبن ، الرياض ، الرياض,"20,000 ريال",44 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-نهاوند-حي-ظهرة-لبن-الرياض-الرياض-3077765,شرق,40 م, 8 سنة
49,49,محل للإيجار في شارع نجران ، حي ظهرة لبن ، الرياض ، الرياض,"25,000 ريال",30 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-نجران-حي-ظهرة-لبن-الرياض-الرياض-3655104,شرق,40 م,جديد
50,50,محل للإيجار في شارع جمال الدين ابو السعود ظهيره ، حي طويق ، الرياض ، الرياض,"30,000 ريال",3000 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-جمال-الدين-ابو-السعود-ظهيره-حي-طويق-الرياض-الرياض-3642148,غرب,,
51,51,محل للإيجار في شارع جبل العوصاء ، حي ظهرة لبن ، الرياض ، الرياض,"13,000 ريال",67 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-جبل-العوصاء-حي-ظهرة-لبن-الرياض-الرياض-3489560,شرق,30 م,جديد
52,52,محل للإيجار في شارع سدير ، حي السويدي ، الرياض ، الرياض,"9,500 ريال",30 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-السويدي/شارع-سدير-حي-السويدي-الرياض-الرياض-2817568,جنوب,20 م, 30 سنة
53,53,محل للإيجار في الرياض ، حي ظهرة نمار ، الرياض,"85,000 ريال",300 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-نمار/الرياض-حي-ظهرة-نمار-الرياض-3531678,شرق,20 م, 19 سنة
54,54,محل للإيجار في شارع نجران ، حي ظهرة لبن ، الرياض ، الرياض,"14,000 ريال",40 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-نجران-حي-ظهرة-لبن-الرياض-الرياض-2490436,غرب,35 م, 2 سنة
55,55,محل للإيجار في شارع النبع ، حي طويق ، الرياض ، الرياض,"25,000 ريال",70 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-النبع-حي-طويق-الرياض-الرياض-3747937,غرب,60 م, 5 سنة
56,56,محل للإيجار في حي طويق ، الرياض ، الرياض,"120,000 ريال",819 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/حي-طويق-الرياض-الرياض-2707954,شرق,30 م, 5 سنة
57,57,محل للإيجار في شارع عبدالملك بن هشام ، حي السويدي ، الرياض ، الرياض,"9,000 ريال",30 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-السويدي/شارع-عبدالملك-بن-هشام-حي-السويدي-الرياض-الرياض-3600756,غرب,,
