,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
270,270,محل للإيجار في شارع عبادة بن الصامت ، حي الروضة ، الرياض ، الرياض,"32,000 ريال",110 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الروضة/شارع-عبادة-بن-الصامت-حي-الروضة-الرياض-الرياض-3637128,شمال,30 م, 25 سنة
271,271,محل للإيجار في شارع الجبيل ، حي النهضة ، الرياض ، الرياض,"14,000 ريال",30 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النهضة/شارع-الجبيل-حي-النهضة-الرياض-الرياض-3676330,غرب,,
272,272,محل للإيجار في طريق صلاح الدين الأيوبي ، حي الملز ، الرياض ، الرياض,"300,000 ريال",165 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الملز/طريق-صلاح-الدين-الأيوبي-حي-الملز-الرياض-الرياض-3560640,غرب,61 م, 30 سنة
273,273,محل للإيجار في شارع الشرائع ، حي المونسية ، الرياض ، الرياض,"15,000 ريال",47 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/شارع-الشرائع-حي-المونسية-الرياض-الرياض-3352631,شمال,30 م, 2 سنة
274,274,محل للإيجار في الرياض ، حي المونسية ، الرياض,"50,000 ريال",16 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/الرياض-حي-المونسية-الرياض-3710688,جنوب,,
275,275,محل للإيجار في شارع علي الابياري ، حي السعادة ، الرياض ، الرياض,"180,000 ريال",300 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-السعادة/شارع-علي-الابياري-حي-السعادة-الرياض-الرياض-3412594,غرب,20 م, 20 سنة
276,276,محل للإيجار في شارع الجامعة ، حي الملز ، الرياض ، الرياض,"60,000 ريال",70 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الملز/شارع-الجامعة-حي-الملز-الرياض-الرياض-3744356,جنوب,,
277,277,محل للإيجار في شارع وادي المناقب ، حي غرناطة ، الرياض ، الرياض,"20,000 ريال",36 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الشهداء/شارع-وادي-المناقب-حي-غرناطة-الرياض-الرياض-3628705,شمال شرقي,35 م, 7 سنة
278,278,محل للإيجار في شارع الجامعة ، حي الملز ، الرياض ، الرياض,"35,000 ريال",70 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الملز/شارع-الجامعة-حي-الملز-الرياض-الرياض-3671906,جنوب,30 م, 6 سنة
279,279,محل للإيجار في شارع الجامعة ، حي الملز ، الرياض ، الرياض,"35,000 ريال",70 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الملز/شارع-الجامعة-حي-الملز-الرياض-الرياض-3648192,جنوب,30 م, 9 سنة
280,280,محل للإيجار في شارع محمد بن علي بن فضل الطبري ، حي الرمال ، الرياض ، الرياض,"18,000 ريال",600 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الرمال/شارع-محمد-بن-علي-بن-فضل-الطبري-حي-الرمال-الرياض-الرياض-3608170,شرق,,
281,281,محل للإيجار في شارع الشيخ حسن بن حسين بن علي ، حي اشبيلية ، الرياض ، الرياض,"50,000 ريال",60 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الشيخ-حسن-بن-حسين-بن-علي-حي-اشبيلية-الرياض-الرياض-3544037,جنوب غربي,,
282,282,محل للإيجار في حي الرمال ، الرياض ، الرياض,"25,000 ريال",56 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الرمال/حي-الرمال-الرياض-الرياض-3725495,جنوب شرقي,46 م,جديد
283,283,محل للإيجار في شارع سيبويه ، حي الروضة ، الرياض ، الرياض,"6,000 ريال",18 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الروضة/شارع-سيبويه-حي-الروضة-الرياض-الرياض-3485771,شرق,25 م, 30 سنة
284,284,محل للإيجار في شارع أحمد بن محمد السديري ، حي القدس ، الرياض ، الرياض,"55,000 ريال",47 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-القدس/شارع-أحمد-بن-محمد-السديري-حي-القدس-الرياض-الرياض-3376368,جنوب,40 م, 11 سنة
285,285,محل للإيجار في حي النهضة ، الرياض ، الرياض,"80,000 ريال",120 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النهضة/حي-النهضة-الرياض-الرياض-3753306,جنوب,,
286,286,محل للإيجار في حي ، شارع حسان بن ثابت ، حي النسيم الشرقي ، الرياض ، الرياض,"60,000 ريال",112 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النسيم-الشرقي/حي-شارع-حسان-بن-ثابت-حي-النسيم-الشرقي-الرياض-الرياض-3261164,غرب,40 م, 20 سنة
287,287,محل للإيجار في شارع اسماعيل الدهان ، حي الرمال ، الرياض ، الرياض,"20,000 ريال",50 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الرمال/شارع-اسماعيل-الدهان-حي-الرمال-الرياض-الرياض-3686422,شرق,,
288,288,محل للإيجار في شارع وادي المناقب ، حي غرناطة ، الرياض ، الرياض,"20,000 ريال",36 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الشهداء/شارع-وادي-المناقب-حي-غرناطة-الرياض-الرياض-3628735,شمال شرقي,36 م, 8 سنة
289,289,محل للإيجار في الرياض ، حي قرطبة ، الرياض,"230,000 ريال",400 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-قرطبة/الرياض-حي-قرطبة-الرياض-3680858,غرب,60 م, 3 سنة
290,290,محل للإيجار في حي السعادة ، الرياض ، الرياض,"13,000 ريال",56 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-السعادة/حي-السعادة-الرياض-الرياض-3467729,شمال,30 م,جديد
291,291,محل للإيجار في حي ، شارع عبدالله بن مسعود ، حي النسيم الغربي ، الرياض ، الرياض,"10,000 ريال",30 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النسيم-الغربي/حي-شارع-عبدالله-بن-مسعود-حي-النسيم-الغربي-الرياض-الرياض-3314402,غرب,,
292,292,محل للإيجار في محطة كهرباء حي قرطبة ، طريق سعيد ابن زيد ، حي قرطبة ، الرياض ، الرياض,"200,000 ريال",270 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-قرطبة/محطة-كهرباء-حي-قرطبة-طريق-سعيد-ابن-زيد-حي-قرطبة-الرياض-الرياض-3721224,شمال غربي,80 م, 7 سنة
