,shoptitle,prices,areaa,links,front,street_width,age
103,محل للإيجار في شارع الأمير فيصل بن تركي بن عبدالعزيز ، حي المربع ، الرياض ، الرياض,"360,000 ريال",360 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المربع/شارع-الأمير-فيصل-بن-تركي-بن-عبدالعزيز-حي-المربع-الرياض-الرياض-3255721,جنوب,30 م,جديد
104,محل للإيجار في شارع الامام تركي بن عبدالله بن محمد ، حي الديرة ، الرياض ، الرياض,"75,000 ريال",50 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الديرة/شارع-الامام-تركي-بن-عبدالله-بن-محمد-حي-الديرة-الرياض-الرياض-3170150,جنوب,1 م, 24 سنة
105,محل للإيجار في حي ، شارع العجلية ، حي ام سليم ، الرياض ، الرياض,"22,000 ريال",30 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-ام-سليم/حي-شارع-العجلية-حي-ام-سليم-الرياض-الرياض-3412846,غرب,21 م, 32 سنة
106,محل للإيجار في شارع ابي زكريا بن العوام ، حي عتيقة ، الرياض ، الرياض,"33,000 ريال",200 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-عتيقة/شارع-ابي-زكريا-بن-العوام-حي-عتيقة-الرياض-الرياض-3198991,شمال,20 م, 15 سنة
107,محل للإيجار في حي ، شارع الوشم ، حي الوشام ، الرياض ، الرياض,"17,000 ريال",35 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الوشام/حي-شارع-الوشم-حي-الوشام-الرياض-الرياض-3170261,شمال,21 م, 35 سنة
108,محل للإيجار في شارع البطحاء ، حي الفوطة ، الرياض ، الرياض,"25,000 ريال",34 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفوطة/شارع-البطحاء-حي-الفوطة-الرياض-الرياض-3336619,شرق,,
109,محل للإيجار في طريق عمر بن عبدالعزيز ، حي الزهراء ، الرياض ، الرياض,"1,000 ريال",500 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الزهراء/طريق-عمر-بن-عبدالعزيز-حي-الزهراء-الرياض-الرياض-3232536,جنوب,60 م, 19 سنة
110,محل للإيجار في حي ، شارع ابي زكريا بن العوام ، حي عتيقة ، الرياض ، الرياض,"320,000 ريال",500 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-عتيقة/حي-شارع-ابي-زكريا-بن-العوام-حي-عتيقة-الرياض-الرياض-3322490,شمال,20 م,جديد
111,محل للإيجار في شارع محمد الشبل ، حي المرقب ، الرياض ، الرياض,"39,000 ريال",82 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-ثليم/شارع-محمد-الشبل-حي-المرقب-الرياض-الرياض-2406714,غرب,21 م, 2 سنة
112,محل للإيجار في شارع البطحاء ، حي جبرة ، الرياض,"15,000 ريال",1000 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-جبرة/شارع-البطحاء-حي-جبرة-الرياض-1501830,شمال غربي,61 م, 19 سنة
113,محل للإيجار في شارع السبالة ، حي الشميسي ، الرياض ، الرياض,"30,000 ريال",60 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الشميسي/شارع-السبالة-حي-الشميسي-الرياض-الرياض-1515321,شمال غربي,32 م, 15 سنة
114,محل للإيجار في طريق علي بن أبي طالب ، حي الفيصلية ، الرياض ، الرياض,"25,000 ريال",27 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفيصلية/طريق-علي-بن-أبي-طالب-حي-الفيصلية-الرياض-الرياض-2653920,غرب,60 م, 10 سنة
115,محل للإيجار في شارع الغرابي ، حي العمل ، الرياض,"10,000 ريال",24 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-العمل/شارع-الغرابي-حي-العمل-الرياض-1578614,شرق,5 م, 25 سنة
116,محل للإيجار في شارع محمد الشبل ، حي ثليم ، الرياض ، الرياض,"25,000 ريال",50 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-ثليم/شارع-محمد-الشبل-حي-ثليم-الرياض-الرياض-2335896,غرب,10 م, 20 سنة
117,محل للإيجار في شارع الشيخ عبداللطيف بن ابراهيم ، حي منفوحة الجديدة ، الرياض ، الرياض,"90,000 ريال",120 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-منفوحة-الجديدة/شارع-الشيخ-عبداللطيف-بن-ابراهيم-حي-منفوحة-الجديدة-الرياض-الرياض-2658779,شمال غربي,35 م, 10 سنة
118,محل للإيجار في حي ، شارع عبداللطيف المعشوق ، حي غبيرة ، الرياض ، الرياض,"13,500 ريال",30 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-غبيرة/حي-شارع-عبداللطيف-المعشوق-حي-غبيرة-الرياض-الرياض-3567816,جنوب,15 م, 7 سنة
119,محل للإيجار في حي الديرة ، الرياض,"200,000 ريال",224 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الديرة/حي-الديرة-الرياض-3500414,شرق,15 م, 20 سنة
