,shoptitle,prices,areaa,links,front,street_width,age
56,محل للإيجار في شارع تهامة ، حي الضباط ، الرياض ، الرياض,"2,000,000 ريال",5000 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الضباط/شارع-تهامة-حي-الضباط-الرياض-الرياض-3583667,3 شوارع,30 م, 25 سنة
57,محل للإيجار في طريق عمر بن عبد العزيز الفرعي ، حي الربوة ، الرياض ، الرياض,"130,000 ريال",177 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الربوة/طريق-عمر-بن-عبد-العزيز-الفرعي-حي-الربوة-الرياض-الرياض-3479842,جنوب,60 م, 10 سنة
58,محل للإيجار في طريق الأمير محمد بن عبدالرحمن الفرعي ، حي الخالدية ، الرياض ، الرياض,"50,000 ريال",63 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الخالدية/طريق-الأمير-محمد-بن-عبدالرحمن-الفرعي-حي-الخالدية-الرياض-الرياض-3275835,جنوب,60 م,جديد
59,محل للإيجار في شارع ابن هبيرة ، حي الزهراء ، الرياض ، الرياض,"90,000 ريال",120 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الزهراء/شارع-ابن-هبيرة-حي-الزهراء-الرياض-الرياض-3478418,جنوب,40 م, 15 سنة
60,محل للإيجار في شارع ابي بكر الواسطي ، حي البطحاء ، الرياض ، الرياض,"40,000 ريال",15 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-البطيحا/شارع-ابي-بكر-الواسطي-حي-البطحاء-الرياض-الرياض-3455503,شمال,5 م,جديد
61,محل للإيجار في شارع البطحاء ، حي الفوطة ، الرياض ، الرياض,"1,200 ريال",480 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفوطة/شارع-البطحاء-حي-الفوطة-الرياض-الرياض-3692683,شرق,40 م,جديد
62,محل للإيجار في طريق الإمام علي بن أبي طالب -رضي الله عنه- الفرعي ، حي الفيصلية ، الرياض ، الرياض,"200,000 ريال",200 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الفيصلية/طريق-الإمام-علي-بن-أبي-طالب--رضي-الله-عنه--الفرعي-حي-الفيصلية-الرياض-الرياض-3447619,غرب,40 م, 35 سنة
63,محل للإيجار في حي ، شارع أبي أيوب الآنصاري ، حي ثليم ، الرياض ، الرياض,"12,000 ريال",50 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-ثليم/حي-شارع-أبي-أيوب-الآنصاري-حي-ثليم-الرياض-الرياض-3611379,شرق,100 م, 10 سنة
64,محل للإيجار في طريق عمر بن عبدالعزيز ، حي الربوة ، الرياض ، الرياض,"100,000 ريال",140 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-جرير/طريق-عمر-بن-عبدالعزيز-حي-الربوة-الرياض-الرياض-3599814,جنوب,20 م, 10 سنة
65,محل للإيجار في حي ، الطريق الدائري الجنوبي ، حي المنصورة ، الرياض ، الرياض,"1,000 ريال",96 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المنصورة/حي-الطريق-الدائري-الجنوبي-حي-المنصورة-الرياض-الرياض-3510097,جنوب,1 م,جديد
66,محل للإيجار في طريق عمر بن عبدالعزيز ، حي الزهراء ، الرياض ، الرياض,"400,000 ريال",400 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الزهراء/طريق-عمر-بن-عبدالعزيز-حي-الزهراء-الرياض-الرياض-3504811,جنوب شرقي,40 م, 26 سنة
67,محل للإيجار في الرياض ، حي الخالدية ، الرياض,"30,000 ريال",120 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الخالدية/الرياض-حي-الخالدية-الرياض-3269569,جنوب,30 م, 30 سنة
68,محل للإيجار في طريق الخرج ، حي الصناعية ، الرياض ، الرياض,"26,000 ريال",112 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الصناعية/طريق-الخرج-حي-الصناعية-الرياض-الرياض-3030915,غرب,80 م,جديد
69,محل للإيجار في طريق الامير محمد بن عبدالرحمن الفرعي ، حي الخالدية ، الرياض ، الرياض,"30,000 ريال",80 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الخالدية/طريق-الامير-محمد-بن-عبدالرحمن-الفرعي-حي-الخالدية-الرياض-الرياض-3415812,شرق,60 م, 18 سنة
70,محل للإيجار في شارع ابن هبيرة ، حي الزهراء ، الرياض ، الرياض,"80,000 ريال",120 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الزهراء/شارع-ابن-هبيرة-حي-الزهراء-الرياض-الرياض-3337387,جنوب,30 م, 10 سنة
71,محل للإيجار في شارع ابن هبيرة ، حي الزهراء ، الرياض ، الرياض,"80,000 ريال",110 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الزهراء/شارع-ابن-هبيرة-حي-الزهراء-الرياض-الرياض-3478493,جنوب,44 م, 14 سنة
72,محل للإيجار في حي ، طريق الملك فيصل ، حي المربع ، الرياض ، الرياض,"5,000,000 ريال",205 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المربع/حي-طريق-الملك-فيصل-حي-المربع-الرياض-الرياض-3608039,جنوب غربي,36 م, 9 سنة
73,محل للإيجار في شارع الامير سعود بن عبدالرحمن الثاني ، حي المنصورة ، الرياض ، الرياض,"7,000 ريال",40 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المنصورة/شارع-الامير-سعود-بن-عبدالرحمن-الثاني-حي-المنصورة-الرياض-الرياض-3643854,غرب,30 م, 10 سنة
74,محل للإيجار في طريق صلاح الدين الايوبي الفرعي ، حي جرير ، الرياض ، الرياض,"24,000 ريال",80 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-جرير/طريق-صلاح-الدين-الايوبي-الفرعي-حي-جرير-الرياض-الرياض-3321079,جنوب,40 م, 30 سنة
75,محل للإيجار في طريق الأمير محمد بن عبدالرحمن الفرعي ، حي الخالدية ، الرياض ، الرياض,"60,000 ريال",65 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-الخالدية/طريق-الأمير-محمد-بن-عبدالرحمن-الفرعي-حي-الخالدية-الرياض-الرياض-3268457,جنوب,,
76,محل للإيجار في شارع الفرزدق ، حي العمل ، الرياض ، الرياض,"52,000 ريال",20 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-العمل/شارع-الفرزدق-حي-العمل-الرياض-الرياض-3639744,شرق,20 م, 17 سنة
77,محل للإيجار في شارع جرير ، حي جرير ، الرياض ، الرياض,"15,000 ريال",45 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-جرير/شارع-جرير-حي-جرير-الرياض-الرياض-3551504,شمال,30 م, 6 سنة
78,محل للإيجار في حي منفوحة ، الرياض ، الرياض,"220,000 ريال",400 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-منفوحة/حي-منفوحة-الرياض-الرياض-3325067,جنوب شرقي,20 م, 8 سنة
79,محل للإيجار في شارع الامير عبدالله بن جلوي بن تركي ، حي المربع ، الرياض ، الرياض,"25,000 ريال",40 م²,/محلات-للإيجار/الرياض/وسط-الرياض/حي-المربع/شارع-الامير-عبدالله-بن-جلوي-بن-تركي-حي-المربع-الرياض-الرياض-3598350,شرق,10 م,جديد
