,Unnamed: 0,Unnamed: 0.1,shoptitle,prices,areaa,links,front,street_width,age
209,209,209,محل للإيجار في شارع وادي الشاطئ ، حي الغدير ، الرياض ، الرياض,"443,256 ريال",292 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الغدير/شارع-وادي-الشاطئ-حي-الغدير-الرياض-الرياض-3362699,شرق,40 م, 3 سنة
210,210,210,محل للإيجار في شارع ربعي الذهلي ، حي النرجس ، الرياض ، الرياض,"20,000 ريال",50 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-النرجس/شارع-ربعي-الذهلي-حي-النرجس-الرياض-الرياض-3531564,جنوب,,
211,211,211,محل للإيجار في شارع الأمير مساعد بن عبدالعزيز ، حي السليمانية ، الرياض ، الرياض,"1,000 ريال",80 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-السليمانية/شارع-الأمير-مساعد-بن-عبدالعزيز-حي-السليمانية-الرياض-الرياض-3215251,شرق,30 م, 15 سنة
212,212,212,محل للإيجار في حي ، طريق الأمير محمد بن سعد بن عبدالعزيز ، حي القيروان ، الرياض ، الرياض,"650,000 ريال",840 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-القيروان/حي-طريق-الأمير-محمد-بن-سعد-بن-عبدالعزيز-حي-القيروان-الرياض-الرياض-3693669,جنوب غربي,60 م,جديد
213,213,213,محل للإيجار في حي الياسمين ، الرياض ، الرياض,"800,000 ريال",1000 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الياسمين/حي-الياسمين-الرياض-الرياض-3310411,شرق,60 م,جديد
214,214,214,محل للإيجار في حي ، طريق الملك عبدالعزيز ، حي العارض ، الرياض ، الرياض,"80,000 ريال",100 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-طريق-الملك-عبدالعزيز-حي-العارض-الرياض-الرياض-3221422,غرب,,
215,215,215,محل للإيجار في حي ، شارع ثعلبه بن سعد الخزرجي ، حي العارض ، الرياض ، الرياض,"23,000 ريال",45 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-شارع-ثعلبه-بن-سعد-الخزرجي-حي-العارض-الرياض-الرياض-3425006,جنوب غربي,,
216,216,216,محل للإيجار في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي الربيع ، الرياض ، الرياض,"1,500,000 ريال",2650 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الربيع/طريق-الأمير-محمد-بن-سلمان-بن-عبدالعزيز-حي-الربيع-الرياض-الرياض-3584222,3 شوارع,,
217,217,217,محل للإيجار في شارع اللؤلؤه ، حي العارض ، الرياض ، الرياض,"27,000 ريال",48 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/شارع-اللؤلؤه-حي-العارض-الرياض-الرياض-3701391,شمال,36 م, 3 سنة
218,218,218,محل للإيجار في حي النفل ، الرياض ، الرياض,"50,000 ريال",40 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-النفل/حي-النفل-الرياض-الرياض-3731445,جنوب,29 م, 12 سنة
